airline_sentiment	airline	text
negative	Virgin America	@VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail
neutral	Virgin America	@VirginAmerica do you miss me? Don't worry we'll be together very soon.
negative	Virgin America	@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS
neutral	Virgin America	@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix
negative	Virgin America	"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢"
neutral	Virgin America	@VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?
negative	Virgin America	"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!"
negative	Virgin America	"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :("
positive	Virgin America	@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews
neutral	Virgin America	Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP
positive	Virgin America	@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday
positive	Virgin America	"@VirginAmerica @freddieawards Done and done! Best airline around, hands down!"
neutral	Virgin America	@VirginAmerica when can I book my flight to Hawaii??
negative	Virgin America	@VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk
positive	Virgin America	"@VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr"
negative	Virgin America	"@VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?"
neutral	Virgin America	@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️
neutral	Virgin America	@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp
neutral	Virgin America	@VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?
positive	Virgin America	@VirginAmerica I'm #elevategold for a good reason: you rock!!
neutral	Virgin America	@VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx
positive	Virgin America	@VirginAmerica wow this just blew my mind
neutral	Virgin America	@VirginAmerica @ladygaga @carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 @ladygaga! I think @carrieunderwood agree
neutral	Virgin America	@VirginAmerica @ladygaga @carrieunderwood All were entertaining
neutral	Virgin America	"@VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows ""On Time"" not ""In Flight"". Thanks."
positive	Virgin America	@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood
neutral	Virgin America	@VirginAmerica wish you flew out of Atlanta... Soon?
neutral	Virgin America	@VirginAmerica @ladygaga @carrieunderwood Julie Andrews. Hands down.
neutral	Virgin America	@VirginAmerica Will flights be leaving Dallas for LA on February 24th?
negative	Virgin America	@VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
positive	Virgin America	@VirginAmerica you know it. Need it on my spotify stat #guiltypleasures
positive	Virgin America	@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊
neutral	Virgin America	@VirginAmerica @ladygaga @carrieunderwood - Carrie!
neutral	Virgin America	@VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?
neutral	Virgin America	@VirginAmerica @ladygaga @carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.
negative	Virgin America	@VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!
neutral	Virgin America	"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌"
neutral	Virgin America	"@VirginAmerica @LadyGaga @CarrieUnderwood Sorry, Mary Martin had it first!"
positive	Virgin America	@VirginAmerica @ladygaga @carrieunderwood  love all three but you really can't beat the classics!
neutral	Virgin America	@VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.
negative	Virgin America	@VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/
negative	Virgin America	"@VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?"
positive	Virgin America	@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV
negative	Virgin America	@VirginAmerica everything was fine until you lost my bag
neutral	Virgin America	@virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?
neutral	Virgin America	@VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.
neutral	Virgin America	"@VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?"
negative	Virgin America	@VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt
positive	Virgin America	"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this."
positive	Virgin America	@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?
neutral	Virgin America	"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF"
neutral	Virgin America	@VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks
negative	Virgin America	@VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.
neutral	Virgin America	@VirginAmerica what happened to Doom?!
negative	Virgin America	@VirginAmerica why can't you supp the biz traveler like @SouthwestAir  and have customer service like @JetBlue #neverflyvirginforbusiness
positive	Virgin America	@VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G
negative	Virgin America	@VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(
negative	Virgin America	@VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness
negative	Virgin America	@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin
negative	Virgin America	@VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R
neutral	Virgin America	@VirginAmerica Can't bring up my reservation online using Flight Booking Problems code
neutral	Virgin America	@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4
neutral	Virgin America	@VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?
negative	Virgin America	@VirginAmerica Why is the site down?  When will it be back up?
neutral	Virgin America	"@VirginAmerica ""You down with RNP?"" ""Yeah you know me!"""
neutral	Virgin America	"@VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
negative	Virgin America	@VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .
negative	Virgin America	"@VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin"
neutral	Virgin America	@VirginAmerica why is flight 345 redirected?
negative	Virgin America	"@VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign."
negative	Virgin America	@VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y
negative	Virgin America	@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable
negative	Virgin America	@virginamerica What is your phone number. I can't find who to call about a flight reservation.
negative	Virgin America	@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.
neutral	Virgin America	@VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday @VirginAmerica from LAX http://t.co/GsB2J3c4gM
negative	Virgin America	@VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax
neutral	Virgin America	@VirginAmerica check out new music http://t.co/maRcnOCWzn
negative	Virgin America	@virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky
negative	Virgin America	@VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.
positive	Virgin America	"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying"
negative	Virgin America	@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm
negative	Virgin America	@VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.
neutral	Virgin America	@VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?
positive	Virgin America	"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare"
neutral	Virgin America	"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/RPdBpX3wNd #CheapFlights #FareCompare"
positive	Virgin America	"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/B2Xi4YG5T8 #CheapFlights #FareCompare"
neutral	Virgin America	"@VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/QDlJHslOI5 #CheapFlights #FareCompare"
positive	Virgin America	@VirginAmerica Have a great week 🌞✈
positive	Virgin America	@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH
negative	Virgin America	"@VirginAmerica should I be concerned that I am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
positive	Virgin America	"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
positive	Virgin America	@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!
positive	Virgin America	@VirginAmerica your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
positive	Virgin America	"@VirginAmerica Love the team running Gate E9 at LAS tonight. Waited for a delayed flight, and they kept things entertaining"
negative	Virgin America	@VirginAmerica Use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
negative	Virgin America	"@VirginAmerica And now the flight Flight Booking Problems site is totally down. Folks, what is the problem?"
negative	Virgin America	@VirginAmerica I like the customer service but a 40 min delay just for connecting passengers seems too long. VA370
positive	Virgin America	@VirginAmerica thanks to your outstanding NYC-JFK crew who moved mountains to get me home to San Francisco tonight!
positive	Virgin America	@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!
neutral	Virgin America	"@VirginAmerica Do you provide complimentary upgrades to first class, if there are available seats?"
negative	Virgin America	@VirginAmerica i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. Im calling intern. Help!!
positive	Virgin America	@VirginAmerica completely awesome experience last month BOS-LAS nonstop. Thanks for such an awesome flight and depart time. #VAbeatsJblue
neutral	Virgin America	@VirginAmerica How can I watch the #Oscars2015 on my JFK-&gt;SFO flight?
neutral	Virgin America	@VirginAmerica is flight 882 Cancelled Flightled and what do I do if it is?
negative	Virgin America	@VirginAmerica you are failing your customers because your check in process does not link to TSA pre-check.
negative	Virgin America	@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry
neutral	Virgin America	@VirginAmerica has flight number 276 from SFO to Cabo San Lucas arrived yet?
negative	Virgin America	@VirginAmerica @ChrysiChrysic your assistance yesterday when u Cancelled Flightled our flight was to give us a hotel hotline  Shame on you!
negative	Virgin America	@VirginAmerica Another delayed flight? #likingyoulessandless
negative	Virgin America	@VirginAmerica I need to register a service dog for a first class ticket from SFO &gt; Dulles. The phone queue is an hour or longer. Pls advise
positive	Virgin America	@virginamerica you ROCK for making it so I can watch #Oscars on my flight!! #redcarpet #oscars #oscars2015
neutral	Virgin America	"@VirginAmerica, @reallytallchris dropped a track on you... https://t.co/zv2pt6TRK9"
positive	Virgin America	@VirginAmerica always!!! Xoxo
negative	Virgin America	@VirginAmerica why can't we book seats on your flights when we buy them or even during check in? Creates so much anxiety! #frustrated
negative	Virgin America	@VirginAmerica You'd think paying an extra $100 bucks RT for luggage might afford you hiring an extra hand at @sfo #lame
positive	Virgin America	@VirginAmerica best customer service rep in the world! #irmafromDallas takes the cake!!!
neutral	Virgin America	@VirginAmerica Can you find us a flt out of LAX that is sooner than midnight on Monday? That would be great customer service 😃
negative	Virgin America	@VirginAmerica please provide status for flight 769.  I cant imagine it's on time as the Web indicates  dude to weather here and/or Dallas
positive	Virgin America	@VirginAmerica you have amazing staff &amp; super helpful as I just ran the @WaltDisneyWorld #PrincessHalf they have spoiled me with comfort!!!
negative	Virgin America	"@VirginAmerica I paid the premium to fly you across the country, you Cancelled Flight my flight and offer no check fee or upgrade love? Sad face :("
negative	Virgin America	@VirginAmerica question: is it not possible to book a seat for an infant under 2? It's not giving me the option but we want a seat for him.
positive	Virgin America	Always have it together!!! You're welcome! RT @VirginAmerica: @jessicajaymes You're so welcome.
positive	Virgin America	@virginamerica #flight home to #dc #sunset #globe in' #backtowinter back to #work! #refreshed http://t.co/VX9vBCTdLf
negative	Virgin America	.@VirginAmerica I don't understand why you need a DM to give me an answer on if you have a damaged luggage policy.
negative	Virgin America	.@VirginAmerica does that mean you don't have a policy for destroyed luggage?
neutral	Virgin America	@VirginAmerica is there special assistance if I travel alone w/2 kids and 1 infant? Priority boarding?
positive	Virgin America	@VirginAmerica thank you for checking in. tickets are purchased and customer is happy ;-)
neutral	Virgin America	@VirginAmerica is your website ever coming back online?
neutral	Virgin America	"@VirginAmerica  - Is Flight 713 from Love Field to SFO definitely Cancelled Flightled for Monday, February 23?"
neutral	Virgin America	@VirginAmerica Is flight 0769 out of LGA to DFW on time?
neutral	Virgin America	@VirginAmerica my drivers license is expired by a little over a month. Can I fly Friday morning using my expired license?
negative	Virgin America	@VirginAmerica having problems Flight Booking Problems on the web site. keeps giving me an error and to contact by phone.  phone is 30 minute wait.
negative	Virgin America	@VirginAmerica How do I reschedule my Cancelled Flightled flights online? The change button is greyed out!
negative	Virgin America	"@VirginAmerica I rang, but there is a wait for 35 minutes!! I can book the same ticket through a vendor, fix your site"
negative	Virgin America	"@VirginAmerica got a flight (we were told) for 4:50 today..,checked my email and its for 4;50 TOMORROW. This is unacceptable."
negative	Virgin America	"@VirginAmerica our flight into lga was Cancelled Flighted. We're stuck in Dallas. I called to reschedule, told I could get a flight for today...(1/2)"
negative	Virgin America	@virginamerica why don't any of the pairings include red wine?! Only white is offered :( #redwineisbetter
negative	Virgin America	@VirginAmerica is the website down?
negative	Virgin America	@VirginAmerica - Your site seems a little wonked right now. May want to have a look. Tried on two browsers. No CSS? http://t.co/8qsQMM7KF2
negative	Virgin America	@VirginAmerica I'm disappointed that the agent at the designated silver status check in line @Dulles_Airport closed to assist all pasengers
neutral	Virgin America	@VirginAmerica Plans to Include Austin to its Dallas Route - TopNews Arab #Emirates http://t.co/aqZWecOkk2
negative	Virgin America	@VirginAmerica Is it normal to receive no reply from Central Baggage #baggageissues #smh
negative	Virgin America	@VirginAmerica at Logan airport and waiting to checkin for my 9am flight. Checkin desk not open !!!!! Why?!
neutral	Virgin America	@VirginAmerica to jump into the Dallas-Austin market - @Dallas_News http://t.co/EwwGi97gdx
neutral	Virgin America	"@VirginAmerica Beats EPS Views, Takes On #SouthwestAir VA LUV - Investor's Business Daily http://t.co/FLwmGDAHxu"
neutral	Virgin America	@VirginAmerica Lister to my show my on Monday 1230 130
neutral	Virgin America	@VirginAmerica to begin Dallas-Austin #flights in April - 88.9 KETR http://t.co/SSUVWwkyHH
negative	Virgin America	"@VirginAmerica congrats, you just got all my business from EWR to SFO/LAX. Fuck you @united fl1289 SFO/EWR was the clincher..."
negative	Virgin America	@VirginAmerica  I applied over 2 weeks ago. Haven't heard back and I'm flying this week #disappointed
neutral	Virgin America	@VirginAmerica I'd love to know what your policy is for damaged luggage.
positive	Virgin America	@VirginAmerica Thank you for the follow
negative	Virgin America	@VirginAmerica - too many apologies! You r the worse airlines! Don't even respond to your cudtomers
negative	Virgin America	@VirginAmerica shame on VA for making people spend money in stranded cities when other airlines are landing at JFK! Who will reimburse me?
neutral	Virgin America	@VirginAmerica @TTINAC11 I DM you
neutral	Virgin America	@VirginAmerica can you please have flights in  SJC ? I have no choice but to fly Southwest to Vegas 😩😭
negative	Virgin America	@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!
negative	Virgin America	@VirginAmerica Flight from BOS &gt; LAS tomorrow was Cancelled Flightled. No notification; wait times are 1+ hour. Will you rebook on another airline?
positive	Virgin America	😎 RT @VirginAmerica: You’ve met your match. Got status on another airline? Upgrade (+restr): http://t.co/RHKaMx9VF5. http://t.co/PYalebgkJt
positive	Virgin America	@VirginAmerica Only way to fly! #Elevate #Gold
neutral	Virgin America	@VirginAmerica If only you guys had flights from CMH.
negative	Virgin America	"@VirginAmerica a lot of ""apologies"" being thrown out to customers from what I can see.Very sad. Thanks for nothing. Worst airline ever."
negative	Virgin America	@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever
neutral	Virgin America	@VirginAmerica Having an issue finding a missing item on a plane. Can you help me find which airport my plane headed to next?
positive	Virgin America	@VirginAmerica you will match my #AmericanAirlines status? Cool!
neutral	Virgin America	“@VirginAmerica:You've met your match.Got status on another airline? Upgrade : http://t.co/H952rDKTqy” @asarco_ES_ar ? 🙉
negative	Virgin America	@VirginAmerica trying to book a flight with you guys and your website won't let me... about to lose my business
negative	Virgin America	@VirginAmerica you suck!
positive	Virgin America	@VirginAmerica thanks!
negative	Virgin America	@VirginAmerica Just DM'd. Same issue persisting.
negative	Virgin America	@VirginAmerica Because we never rec'd Cancelled Flightlation notice we were left w no options to fly out of PS. Driving to LA for a red eye Mon w kids
negative	Virgin America	@VirginAmerica trying to book a flight &amp; your site is down 😁
negative	Virgin America	@VirginAmerica You have any flights flying into Boston tomorrow? I need to be home and you Cancelled Flightled my flight and didn't do anything
negative	Virgin America	@VirginAmerica you stink. Flight Cancelled Flighted from PSP to JFK and no notification or ability to rebook #disappointed.  #expected better
positive	Virgin America	@VirginAmerica I love your guy's song! We're dancing to it for our high school dance revue
negative	Virgin America	@VirginAmerica Your website is down and I'm trying to check in!
positive	Virgin America	"@VirginAmerica done! Thank you for the quick response, apparently faster than sitting on hold ;)"
neutral	Virgin America	@VirginAmerica nervous about my flight from DC to LAX getting Cancelled Flightled tomorrow! Just sent you a DM to help me!
positive	Virgin America	@VirginAmerica cool picture of another VirginAmerica plane off our wing. What a site! http://t.co/5B2agFd8c4
positive	Virgin America	@VirginAmerica Keep up the great work :)
positive	Virgin America	@VirginAmerica my goodness your people @love field are amazing under pressure ❤️from Texas #beatstheothers in crisis Please fly me to NY
positive	Virgin America	@VirginAmerica Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously
neutral	Virgin America	@VirginAmerica can you please get me to the new york area before monday afternoon
positive	Virgin America	"@VirginAmerica Thanks so much for the awesome support, you guys rock!"
negative	Virgin America	@VirginAmerica seats in Row 8 don't recline should mention that on your website #soreback
negative	Virgin America	@VirginAmerica flight 404 delayed 2 hours in LA due to mechanical problems. Handle like pros but you could have tossed us a free drink.
negative	Virgin America	@VirginAmerica why Cancelled Flight flights today? No precipitation to be scared of!  ❄️❄️❄️
positive	Virgin America	@VirginAmerica twitter team. you guys killed it for rescheduling me asap. thank you!
negative	Virgin America	@VirginAmerica You guys charged me $100 to reschedule a flight that was then Cancelled Flighted and are now refusing to refund it. What's the deal?
negative	Virgin America	@VirginAmerica can’t access your website from Safari on iPhone 6. Seems to work on Mac and iPad. Need iPhone to add Passbook.
neutral	Virgin America	"@VirginAmerica on iPad and iPhone, clicking the CHECKIN link in the email I received at 24hrs before flight"
negative	Virgin America	"@VirginAmerica your mobile site is broken, shows 
""{{header.elevateUser.numOfPointsAvailable || '0' | number}} Points"", won't let me checkin"
negative	Virgin America	@VirginAmerica I was really looking forward to my flight. can you let me know when it will be rescheduled? #diehardvirgin
negative	Virgin America	"@VirginAmerica why Cancelled Flight flight VX413? One sec its delayed, on my to airport, the next its Cancelled Flightled?Gonna email or call me to reschedule?"
negative	Virgin America	@VirginAmerica I did it but there was a problem in the link from the email for check-in. thanks
negative	Virgin America	@VirginAmerica had to change to another airline to get to DC today ... Why is @united able to land in DC but not you? Cost me $800 ...ugh
negative	Virgin America	@VirginAmerica I was so looking forward to my first flight with you today but it was Cancelled Flightled along with the subsequent one ...
positive	Virgin America	@VirginAmerica when are you putting some great deals from PDX to LAS or from LAS to PDX show me your love! http://t.co/enIQg0buzj
positive	Virgin America	@VirginAmerica wish I can afford to fly with you next Friday  going back home.. love everything  about your airline
negative	Virgin America	@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad
neutral	Virgin America	"@VirginAmerica it’s just a bug report, guys"
negative	Virgin America	@VirginAmerica hold times at call center are a bit much
positive	Virgin America	@VirginAmerica Like http://t.co/VPqEm31XUQ
negative	Virgin America	@VirginAmerica Site down? #help
positive	Virgin America	@VirginAmerica You have the best flight attendant ever!!! http://t.co/PxdEL1nq3l
positive	Virgin America	"Awesome! RT @VirginAmerica: Watch nominated films at 35,000 feet. #MeetTheFleet #Oscars http://t.co/DnStITRzWy"
positive	Virgin America	@VirginAmerica thanks so much!
negative	Virgin America	"@VirginAmerica Trying to reset my password, email never arrives. Help?"
positive	Virgin America	"@VirginAmerica, the only airline based in Silicon Valley! #disruption #FCmostinnovative #incubator  @FastCompany's http://t.co/wU3LbCNcr9"
positive	Virgin America	@VirginAmerica Very nicely done. 👏
positive	Virgin America	@VirginAmerica I’m looking forward to watching the Oscars on my flight home tomorrow. I might even get something bubbly to drink! ;)
negative	Virgin America	@VirginAmerica What is the reason  for the delay of the departure of VX 413 from JFK this afternoon?
negative	Virgin America	"@VirginAmerica is todays flight from Palm Springs, Ca to JFK in NY Cancelled Flightled?"
positive	Virgin America	@VirginAmerica hahaha 😂@VirginAmerica YOU GUYS ARE AMAZING. I LOVE YOU GUYS!!!💗
positive	Virgin America	@VirginAmerica sounds like fun !
neutral	Virgin America	@VirginAmerica any updates on flight 413 from Jfk &gt; Lax
neutral	Virgin America	@virginamerica spruce moose!
negative	Virgin America	"@VirginAmerica the CSS on your site is a 404 right now, please fix. Site unusable."
negative	Virgin America	"@VirginAmerica We're on flight 910 Vegas to Boston today, checked in online but our bag count didn't register. Can I fix that somehow?"
positive	Virgin America	"@VirginAmerica classiq, luv Virgin America. Greetingz"
negative	Virgin America	"@VirginAmerica Hi, I'm trying to do check-in but the website is not working. I tried 3 different browsers and the problem continues"
positive	Virgin America	@VirginAmerica Thanks for your great customer service today &amp; for helping me get all my travel sorted out!
positive	Virgin America	@VirginAmerica thanks guys! Sweet route over the Rockies #airplanemodewason
positive	Virgin America	@VirginAmerica love the 90s music blasting at gate in #Boston while waiting for flight to #SanFrancisco. Only if I could get an iced coffee!
negative	Virgin America	"@VirginAmerica - the passenger in 7D, Flt 338 that assaulted me shouldn't have flown. I trust he's banned. Crew filed report to @FAANews"
negative	Virgin America	@VirginAmerica current bug on website shows ‘select departure city’ when selecting destination city http://t.co/SLLYIBE2vQ
negative	Virgin America	@VirginAmerica luggage was severely dented/missing wheel coming off baggage claim in SAN. Luggage agent Miranda (I think) wasn't any help.
positive	Virgin America	"@VirginAmerica thank you for the easy itinerary shift for impending weather. Quick, painless &amp; free."
neutral	Virgin America	"@VirginAmerica If you'd love to see more girls be inspired to become pilots, RT our free WOAW event March 2-8 at ABQ. http://t.co/rfXlV1kGDh"
positive	Virgin America	@VirginAmerica Thanks! Good times there and back! #Vodkatonics the entire flight🍸#sfo
neutral	Virgin America	"@VirginAmerica beats expectations, shares take off - Santa Cruz Sentinel http://t.co/qm9dQbai6G"
neutral	Virgin America	@VirginAmerica any plans to start flying direct from DAL to LAS?
neutral	Virgin America	@VirginAmerica BIG Love/gratitude.mpower w/ http://t.co/1AGR9knCpf weRin #OSCARS2105 VIPswagbags@ #AvalonHollywood http://t.co/ybMbGs0dHn
positive	Virgin America	"@VirginAmerica, you're doing a great job adding little luxuries/aesthetics that improve the air travel experience. Thank you. Keep it up!"
negative	Virgin America	@VirginAmerica requested window seat and confirmed window but got stuck in middle seat. Not a good way to treat silver member😒
neutral	Virgin America	@VirginAmerica Grand Budapest Hotel #OscarsCountdown
neutral	Virgin America	@VirginAmerica This is what you missed @NewsVP. Next trip to the 407.
negative	Virgin America	@VirginAmerica #wtf I paid for direct flight on purpose not to have to stop for fuel exhausted frequent flier and nothing for inconvenience!
negative	Virgin America	@VirginAmerica there is something wrong with you website in Safari iPhone
positive	Virgin America	@VirginAmerica thanks for gate checking my baggage on your full flight dfw-lax 883 and giving me early boarding too #sweet
negative	Virgin America	@VirginAmerica Already checked in so the page expired :X
negative	Virgin America	@VirginAmerica Boo for a not refunding a seat upgrade fee I did not want to buy in the first place!
